PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
T2M,1984,25.363333333333333,26.154166666666665,26.808333333333334,27.37,27.735,25.36638888888889,24.490555555555556,24.5625,24.80777777777778,24.498055555555553,25.269444444444446,25.04888888888889
T2M,1985,25.248611111111114,26.616111111111113,27.904444444444444,28.011666666666667,27.774166666666666,25.064722222222223,24.272222222222222,24.429444444444446,24.765277777777776,25.044722222222223,24.711666666666666,25.16361111111111
T2M,1986,25.535,26.014722222222222,27.66111111111111,28.414166666666667,27.568055555555556,25.676111111111112,25.024444444444445,24.41861111111111,24.873055555555553,25.363333333333333,24.99083333333333,25.811111111111114
T2M,1987,25.674999999999997,26.45888888888889,27.708055555555557,28.543611111111108,28.126388888888886,26.34027777777778,25.82888888888889,25.430833333333332,25.58527777777778,25.677222222222223,25.519722222222224,25.24
T2M,1988,24.966666666666665,27.11777777777778,28.264722222222222,28.16472222222222,27.718055555555555,25.978055555555557,25.144166666666667,24.84027777777778,25.035833333333333,25.574444444444445,25.58888888888889,25.368055555555557
T2M,1989,25.825277777777778,26.526666666666667,27.767777777777777,28.392777777777777,27.55527777777778,25.477777777777778,24.565555555555555,24.83,24.90527777777778,25.18111111111111,25.361666666666665,25.109166666666667
T2M,1990,25.426944444444445,26.755277777777778,27.97888888888889,28.729444444444443,27.322222222222223,25.99277777777778,24.826944444444443,24.77638888888889,25.170833333333334,25.725,25.52722222222222,25.699166666666667
T2M,1991,26.178611111111113,27.12472222222222,28.514722222222222,28.89527777777778,28.93444444444445,26.133055555555554,25.195,24.77111111111111,25.35666666666667,25.353055555555557,25.19388888888889,24.54361111111111
T2M,1992,24.59777777777778,26.550277777777776,27.886944444444445,28.66416666666667,27.552222222222223,26.058888888888887,24.697222222222223,24.754444444444445,24.757777777777775,25.191666666666666,25.121111111111112,23.930555555555557
T2M,1993,24.39777777777778,25.86611111111111,27.53527777777778,28.62722222222222,27.805833333333332,26.010555555555555,24.928055555555556,24.75,25.01861111111111,25.171944444444446,24.99888888888889,24.593611111111112
T2M,1994,24.941111111111113,26.17833333333333,27.705555555555556,27.655,27.69972222222222,25.533611111111114,24.829166666666666,24.82166666666667,25.02861111111111,25.116944444444446,25.165277777777778,24.623611111111114
T2M,1995,25.328611111111112,26.924999999999997,27.758333333333333,28.308333333333334,27.011666666666667,25.896666666666665,24.953055555555554,25.114166666666666,25.297222222222224,25.46138888888889,25.00638888888889,24.460833333333333
T2M,1996,25.280555555555555,26.504166666666666,27.950000000000003,27.888055555555557,28.02027777777778,26.127222222222223,25.04388888888889,24.450555555555557,24.57138888888889,24.922777777777778,25.047777777777778,24.180833333333332
T2M,1997,24.694166666666668,25.996666666666666,27.88222222222222,28.14805555555556,28.015277777777776,26.75722222222222,25.35194444444444,25.235277777777778,25.221111111111114,25.8725,25.724722222222223,25.674722222222222
T2M,1998,25.578611111111112,26.801111111111112,28.587500000000002,29.66305555555556,28.807777777777776,26.79111111111111,25.17388888888889,25.231944444444444,25.196944444444444,25.045555555555556,24.815,24.62027777777778
T2M,1999,24.634722222222223,26.578055555555554,28.258333333333333,27.789166666666667,26.079166666666666,25.7775,24.928055555555556,24.848333333333333,25.340833333333332,24.905555555555555,24.808888888888887,24.65222222222222
T2M,2000,25.521944444444443,25.952777777777776,27.36611111111111,27.887222222222224,27.407777777777778,25.58138888888889,25.19,24.98888888888889,25.283611111111114,25.280833333333334,25.418055555555554,24.515
T2M,2001,25.684444444444445,26.700555555555557,28.104166666666668,27.394166666666667,27.405,25.938055555555554,25.02722222222222,25.021666666666665,25.246666666666666,25.43777777777778,25.351388888888888,24.879166666666666
T2M,2002,25.475555555555555,26.660555555555554,28.195833333333333,28.617222222222225,27.608888888888888,26.239166666666666,25.799722222222222,24.94472222222222,25.718611111111112,25.753611111111113,25.455555555555556,24.927777777777777
T2M,2003,25.811666666666667,27.252222222222223,28.013333333333335,28.45888888888889,28.301944444444445,26.52111111111111,25.44361111111111,25.56722222222222,25.781111111111112,25.72861111111111,25.48611111111111,25.16472222222222
T2M,2004,25.77111111111111,26.81361111111111,28.397222222222222,28.477222222222224,26.55777777777778,25.694166666666668,25.048333333333332,25.021666666666665,24.95388888888889,25.49277777777778,25.281111111111112,24.6625
T2M,2005,25.691944444444445,26.929166666666667,28.078611111111112,27.685277777777777,28.233333333333334,26.522222222222222,25.357777777777777,25.521666666666665,25.248055555555553,25.56138888888889,24.62666666666667,24.725555555555555
T2M,2006,24.8775,25.95888888888889,27.616388888888892,28.395,27.49277777777778,25.93111111111111,25.43111111111111,25.243055555555557,25.2575,25.41722222222222,25.369444444444444,24.581944444444446
T2M,2007,25.065,26.088611111111113,28.22361111111111,28.46944444444445,27.563888888888886,26.239444444444445,25.429722222222225,24.998611111111114,25.204722222222223,25.20777777777778,24.950277777777778,24.81527777777778
T2M,2008,24.930833333333332,26.41361111111111,26.302777777777777,27.25027777777778,27.205,26.111944444444443,25.244999999999997,25.029444444444444,25.40138888888889,25.830277777777777,25.376388888888886,24.79388888888889
T2M,2009,25.007777777777775,26.614722222222223,27.938055555555554,28.551388888888887,27.545277777777777,26.0025,25.202777777777776,25.449444444444445,25.464166666666667,25.759722222222223,25.653055555555554,25.49972222222222
T2M,2010,25.55611111111111,27.084722222222222,28.70527777777778,28.537777777777777,28.13416666666667,26.49888888888889,25.306666666666665,25.082222222222224,25.253333333333334,25.543611111111108,25.040833333333335,24.45611111111111
T2M,2011,24.790277777777778,25.688333333333333,27.613611111111112,27.750833333333333,27.663888888888888,26.33555555555556,25.02638888888889,25.022499999999997,25.341388888888886,25.841944444444447,25.496111111111112,25.075833333333335
T2M,2012,25.202222222222222,26.68277777777778,27.929722222222225,28.04111111111111,27.421666666666667,26.140833333333333,25.75888888888889,25.343333333333334,25.538333333333334,25.84861111111111,25.721944444444446,25.93722222222222
T2M,2013,26.30333333333333,26.904722222222222,28.226388888888888,28.91388888888889,27.904444444444444,25.78972222222222,24.890833333333333,25.03027777777778,25.142222222222223,25.528333333333332,25.653055555555554,25.038888888888888
T2M,2014,25.691944444444445,26.83388888888889,28.24361111111111,28.660833333333333,27.732222222222223,26.842222222222222,25.58361111111111,25.08388888888889,25.55777777777778,25.63388888888889,25.47138888888889,25.405
T2M,2015,25.290833333333335,26.608333333333334,27.7975,27.938888888888886,27.49888888888889,26.58,26.00472222222222,25.89,26.13861111111111,26.339444444444446,25.729166666666668,25.80777777777778
T2M,2016,25.797777777777778,27.436111111111114,28.866944444444446,29.66611111111111,28.543888888888887,26.47888888888889,25.47861111111111,25.574444444444442,25.27027777777778,25.909444444444446,26.06222222222222,25.813333333333333
T2M,2017,25.870833333333334,26.725277777777777,27.64527777777778,28.648888888888887,27.923333333333332,26.52138888888889,25.921666666666667,25.546388888888888,25.6725,25.876944444444447,25.70611111111111,25.1325
T2M,2018,25.41611111111111,26.694444444444443,28.1325,28.6725,27.475,26.2425,25.52305555555556,24.957222222222224,25.66611111111111,25.987777777777776,26.031111111111112,26.171944444444446
T2M,2019,25.504166666666666,27.583055555555557,28.7425,29.412777777777777,28.565277777777776,27.431944444444444,26.144722222222224,25.52388888888889,25.800555555555558,25.833333333333332,26.200000000000003,25.86
T2M,2020,26.237499999999997,27.31277777777778,28.640277777777776,29.217777777777776,28.56222222222222,26.700000000000003,25.619722222222222,25.704722222222223,25.468888888888888,25.628611111111113,26.049722222222222,25.540277777777778
T2M,2021,25.591388888888886,26.221111111111114,27.86138888888889,28.250555555555554,27.361666666666665,26.52111111111111,25.72,25.428055555555556,25.785,25.8575,25.36861111111111,25.22361111111111
T2M,2022,25.39333333333333,26.35861111111111,28.061666666666667,28.07361111111111,27.1275,26.1,25.188888888888886,24.975833333333334,25.236666666666665,25.47277777777778,25.327777777777776,25.49722222222222
T2M,2023,25.060277777777777,26.593888888888888,28.0325,28.75111111111111,28.19222222222222,27.409166666666668,25.948055555555555,26.406111111111112,25.981944444444444,26.30333333333333,26.39888888888889,26.294444444444444
T2M,2024,26.069444444444443,27.5325,29.122222222222224,30.22666666666667,28.459444444444443,26.744444444444444,25.941388888888888,25.873055555555553,26.238055555555558,26.19861111111111,26.302777777777777,25.988333333333333
T2M,2025,25.769166666666667,27.1875,28.404722222222222,28.47361111111111,28.17833333333333,26.841666666666665,25.93777777777778,,,,,
