PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1984,10,75,75.23,75.17,77.39,76.98,77.78,83.82,84.35,85.4,83.05,79.67,75.07,71.23,78.77
RH2M,1984,10,75.625,74.28,74.26,77.66,78.22,78.49,84.8,85.92,88.41,85.36,80.71,74.63,69.68,79.38
RH2M,1984,10,76.25,71.11,71.25,73.16,79.21,79.15,87.62,89.28,89.66,87.15,84.27,77.58,66.93,79.71
RH2M,1984,10,76.875,81.17,80.14,73.23,80.41,79.51,89.99,91.21,90.34,88.52,88.41,86.53,77.26,83.89
RH2M,1984,10,77.5,85.65,84.85,70.41,74.56,67.72,76.19,78.71,76.02,75.6,82.66,85.16,71.69,77.39
RH2M,1984,10.5,75,73.55,73.94,76.58,76.79,77.98,83.69,84.02,85.93,83.96,80.03,74.47,70.34,78.45
RH2M,1984,10.5,75.625,71.92,71.49,75.32,78.37,78.43,84.86,85.91,88.59,86.15,81.55,74.44,68.16,78.78
RH2M,1984,10.5,76.25,70.72,69.49,68.6,78.72,78.12,88.36,90.08,89.88,88.23,86.05,79.97,67.66,79.67
RH2M,1984,10.5,76.875,78.05,76.59,67.2,75.27,74.29,86.19,88.87,87.48,84.91,87.9,84.64,72.6,80.33
RH2M,1984,10.5,77.5,81.59,80.28,65.2,67.16,59.8,71.57,74.4,72.9,72.5,79.67,81.36,70.05,73
RH2M,1984,11,75,73.38,73.83,75.82,76.68,78.38,84.02,84.17,86.8,85.42,80.21,73.98,70.27,78.59
RH2M,1984,11,75.625,69.3,67.54,71.33,78.99,79.16,86.14,86.99,89.24,87.53,82.85,74.54,67.19,78.42
RH2M,1984,11,76.25,71.36,68.16,66.52,78.99,78.67,89.3,90.84,90.13,88.85,87.5,81.78,69.45,80.14
RH2M,1984,11,76.875,76.91,74.64,64.05,71.74,69.6,82.03,84.5,82.41,80.31,87.18,83.13,69.76,77.18
RH2M,1984,11,77.5,77.61,75.7,62.86,62.33,53.21,65.35,68.78,65.51,67.51,78.85,78.26,67.42,68.58
RH2M,1984,11.5,75,73.8,73.12,75.09,76.98,78.8,85.07,85.17,87.32,86.61,80.75,73.64,70.41,78.91
RH2M,1984,11.5,75.625,69.5,66.02,68.35,79.42,79.35,88.43,89.11,90.01,88.74,85.03,77.04,68.5,79.15
RH2M,1984,11.5,76.25,72.99,67.79,64.53,77.69,77.42,89.63,91.2,90.44,89,88.64,83.39,69.82,80.23
RH2M,1984,11.5,76.875,75.82,72.99,62.04,69.23,66.4,80.18,81.74,79.34,77.79,86.51,81.98,67.04,75.08
RH2M,1984,11.5,77.5,76.69,74.71,63.02,61.43,51.91,62.43,66.69,62.5,66.9,81.22,78.93,66.54,67.71
RH2M,1984,12,75,73.21,70.53,73.11,77.22,78.6,86.87,87.19,87.9,87.62,82.6,74.75,70.31,79.18
RH2M,1984,12,75.625,71.8,66.28,66.59,78.43,77.66,90.69,91.68,90.73,89.54,87.6,81.29,70.43,80.25
