PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,10,75,27.04,27.55,27.79,28.68,28.95,27.5,26.54,26.52,26.59,26.4,27.42,27.26,27.35
T2M,1984,10,75.625,27.18,27.65,27.87,28.62,28.84,27.24,26.19,25.98,26.18,26.3,27.34,27.27,27.22
T2M,1984,10,76.25,27.14,27.49,28.09,27.98,28.17,26.02,25.12,25.18,25.37,25.3,26.52,26.59,26.58
T2M,1984,10,76.875,21.44,22.02,23.69,24.26,24.63,21.52,20.91,21.37,21.77,21.15,21.46,20.37,22.05
T2M,1984,10.5,75,27.18,27.77,27.91,28.8,28.99,27.56,26.6,26.38,26.45,26.42,27.53,27.29,27.4
T2M,1984,10.5,75.625,27.38,28,28.13,28.59,28.82,27.18,26.17,25.84,26,26.17,27.37,27.18,27.23
T2M,1984,10.5,76.25,26.59,27.28,28.28,27.86,28.09,25.6,24.75,24.84,24.97,24.76,25.7,25.59,26.19
T2M,1984,10.5,76.875,22.53,23.34,25.28,26.04,26.39,22.94,22.2,22.65,23.16,22.08,22.34,21.65,23.38
T2M,1984,11,75,27.18,27.91,28.08,28.87,28.95,27.54,26.61,26.19,26.19,26.46,27.56,27.32,27.4
T2M,1984,11,75.625,27.47,28.39,28.46,28.3,28.48,26.72,25.79,25.44,25.53,25.82,27.2,27,27.04
T2M,1984,11,76.25,24.62,25.7,26.67,26.4,26.61,23.85,23.12,23.27,23.47,23.19,23.86,23.45,24.51
T2M,1984,11,76.875,22.46,23.46,25.24,26.6,27.23,23.49,22.84,23.33,23.85,22.26,22.4,21.89,23.75
T2M,1984,11.5,75,27.12,28.01,28.23,28.87,28.84,27.33,26.47,26.03,25.94,26.42,27.52,27.33,27.34
T2M,1984,11.5,75.625,26.49,27.72,27.96,27.46,27.65,25.49,24.69,24.48,24.58,24.78,25.95,25.73,26.08
T2M,1984,11.5,76.25,22.61,24.03,24.87,25.04,25.33,22.05,21.43,21.6,21.96,21.6,22.01,21.4,22.82
