PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1984,10.5,75.5,18.8,20.18,21.28,21.57,21.08,15.18,16.07,18.07,19.74,19.26,18.39,18.11,18.97
ALLSKY_SFC_SW_DWN,1984,10.5,76.5,18.03,18.75,20.53,21.72,21.5,15.22,15.08,18.06,18.98,18.16,18.67,18.77,18.62
ALLSKY_SFC_SW_DWN,1984,10.5,77.5,16.46,16.15,21.12,21.21,22.62,19.01,18.68,20.41,20,18.16,18.66,18.65,19.27
ALLSKY_SFC_SW_DWN,1984,11.5,75.5,18.13,20.04,21.17,21.59,21.42,13.99,16.38,16.95,18.41,19.57,19.28,19.22,18.85
ALLSKY_SFC_SW_DWN,1984,11.5,76.5,17.54,18.93,21.62,21.68,22.57,16.14,14.92,17.42,17.28,18.02,19.1,19.43,18.72
ALLSKY_SFC_SW_DWN,1984,11.5,77.5,16.48,16.08,21.47,21.95,23.56,18.78,18.44,19.91,19.75,17.82,18.22,17.59,19.18
ALLSKY_SFC_SW_DWN,1984,12.5,75.5,18.23,19.84,20.87,21.55,21.27,14.39,14.64,16.59,17.72,17.91,19.44,19.16,18.46
ALLSKY_SFC_SW_DWN,1984,12.5,76.5,18.42,20.02,21.62,23,22.59,17.17,15.78,18.15,17.96,17.99,19.06,20.28,19.33
ALLSKY_SFC_SW_DWN,1984,12.5,77.5,17.78,17.07,23.15,22.53,23.02,17.92,17.23,19.94,18.76,17.12,17.71,17.8,19.18
ALLSKY_SFC_SW_DWN,1984,8.5,75.5,17.62,18.73,21.39,21.13,18.93,16.98,17.76,19.67,20.76,20.63,19.25,19.03,19.33
ALLSKY_SFC_SW_DWN,1984,8.5,76.5,17.52,16.51,19.58,17.38,18.67,17.15,18.15,20.18,20.49,19.27,17.75,18.28,18.42
ALLSKY_SFC_SW_DWN,1984,8.5,77.5,16.18,15.88,20.33,18.7,20.3,18.05,18.94,20.92,19.99,17.66,17.67,18.37,18.6
ALLSKY_SFC_SW_DWN,1984,9.5,75.5,18.51,19.73,21.12,21.02,20.24,16.26,16.81,19.1,20.67,20.45,19.29,18.57,19.31
ALLSKY_SFC_SW_DWN,1984,9.5,76.5,18.69,18.64,21.61,19.66,20.24,16.31,15.98,19.42,20.34,18.41,18.15,18.69,18.85
ALLSKY_SFC_SW_DWN,1984,9.5,77.5,16.42,16.11,20.91,19.73,21.77,17.29,16.94,19.36,19.03,16.89,19.53,17.98,18.51
,,,,17.654,18.17733333,21.18466667,20.96133333,21.31866667,16.656,16.78666667,18.94333333,19.32533333,18.488,18.678,18.662,
ALLSKY_SFC_SW_DWN,1985,10.5,75.5,19.48,20.51,22.49,23.33,19.69,14.55,16.91,16.57,20.39,19.56,18.15,18.92,19.2
ALLSKY_SFC_SW_DWN,1985,10.5,76.5,19.74,21.72,22.91,22.75,19.73,13.36,15.16,15.52,18.92,18.87,18,18.03,18.71
ALLSKY_SFC_SW_DWN,1985,10.5,77.5,18.15,21.62,24.54,23.64,21.6,16.96,17.43,17.67,18.74,18.61,16.97,17.93,19.47
